SKU,YEAR,WEEK,YEARWEEK,WORKING DAYS,DISCOUNT (%),GIFT,COVID LOCKDOWN,PRICE INCREASE (%),HOLIDAY WEEK,ACTUAL SALES (CS)
A,2021,1,202101,6,7,Plastic gift,NO,0,YES,422
A,2021,2,202102,6,7,Plastic gift,NO,0,NO,409
A,2021,3,202103,6,7,U-gift,NO,0,NO,435
A,2021,4,202104,6,7,U-gift,NO,0,NO,446
A,2021,5,202105,6,0,,NO,0,NO,370
A,2021,6,202106,0,0,,NO,0,YES,0
A,2021,7,202107,4,0,,NO,0,YES,289
A,2021,8,202108,6,0,,NO,0,NO,303
A,2021,9,202109,6,0,,NO,0,NO,310
A,2021,10,202110,6,0,,NO,0,NO,348
A,2021,11,202111,6,0,,NO,0,NO,328
A,2021,12,202112,6,7,Ceramics gift,NO,0,NO,467
A,2021,13,202113,6,7,Ceramics gift,NO,0,NO,481
A,2021,14,202114,6,7,Ceramics gift,NO,0,NO,512
A,2021,15,202115,6,10,,NO,0,NO,400
A,2021,16,202116,5,10,,NO,0,YES,381
A,2021,17,202117,4,10,,NO,0,YES,373
A,2021,18,202118,6,0,,NO,0,NO,336
A,2021,19,202119,6,0,,NO,0,NO,370
A,2021,20,202120,6,0,,NO,0,NO,347
A,2021,21,202121,6,0,,NO,0,NO,351
A,2021,22,202122,6,0,,NO,0,NO,301
A,2021,23,202123,6,0,,NO,0,NO,295
A,2021,24,202124,6,0,,NO,0,NO,353
A,2021,25,202125,6,9,,NO,0,NO,380
A,2021,26,202126,6,9,,NO,0,NO,392
A,2021,27,202127,6,9,,YES,0,NO,362
A,2021,28,202128,6,0,,YES,0,NO,200
A,2021,29,202129,6,0,,YES,9,NO,204
A,2021,30,202130,6,0,,YES,0,NO,307
A,2021,31,202131,6,0,,YES,0,NO,262
A,2021,32,202132,6,20,,YES,0,NO,1488
A,2021,33,202133,6,20,,YES,0,NO,460
A,2021,34,202134,6,20,,YES,0,NO,420
A,2021,35,202135,5,0,Ceramics gift,YES,0,YES,193
A,2021,36,202136,6,0,Ceramics gift,YES,0,NO,235
A,2021,37,202137,6,0,Ceramics gift,NO,0,NO,272
A,2021,38,202138,6,0,,NO,0,NO,370
A,2021,39,202139,6,0,,NO,0,NO,325
A,2021,40,202140,6,0,,NO,5,NO,255
A,2021,41,202141,6,0,,NO,0,NO,337
A,2021,42,202142,6,0,,NO,0,NO,317
A,2021,43,202143,6,0,,NO,0,NO,339
A,2021,44,202144,6,0,,NO,0,NO,310
A,2021,45,202145,6,0,,NO,0,NO,330
A,2021,46,202146,6,0,,NO,0,NO,335
A,2021,47,202147,6,5,U-gift,NO,0,NO,401
A,2021,48,202148,6,5,U-gift,NO,0,NO,438
A,2021,49,202149,6,5,U-gift,NO,0,NO,427
A,2021,50,202150,6,15,,NO,0,NO,478
A,2021,51,202151,6,15,,NO,0,NO,417
A,2021,52,202152,5,15,,NO,0,NO,423
A,2022,1,202201,6,5,Ceramics gift,NO,0,YES,471
A,2022,2,202202,6,5,Ceramics gift,NO,0,NO,448
