,SKU,YEAR,WEEK,YEARWEEK,WORKING DAYS,DISCOUNT (%),COVID LOCKDOWN,PRICE INCREASE (%),HOLIDAY WEEK,ACTUAL SALES (CS),GIFT_Ceramics gift,GIFT_Plastic gift,GIFT_U-gift,CANNIBALIZATION,Predictions
144,B,2022,15,202215,6,0,0,0,0,0,1,0,0,0,496.95294787051256
145,B,2022,16,202216,6,0,0,7,0,0,0,0,0,0,417.7535191748197
146,B,2022,17,202217,5,0,0,0,0,0,0,0,0,0,496.95294787051256
147,B,2022,18,202218,5,12,0,0,0,0,0,0,1,0,657.2663871345678
148,B,2022,19,202219,6,12,0,0,0,0,0,0,1,0,657.2663871345678
149,B,2022,20,202220,6,12,0,0,0,0,0,0,1,0,657.2663871345678
150,B,2022,21,202221,6,0,0,0,0,0,0,0,0,0,496.95294787051256
151,B,2022,22,202222,6,0,0,0,0,0,0,0,0,0,496.95294787051256
152,B,2022,23,202223,6,0,0,0,0,0,0,0,0,0,496.95294787051256
153,B,2022,24,202224,6,25,0,0,0,0,0,0,0,1,906.4999999999989
154,B,2022,25,202225,6,25,0,0,0,0,0,0,0,1,906.4999999999989
155,B,2022,26,202226,6,25,0,0,0,0,0,0,0,1,906.4999999999989
